Dystans (m),Wysokość (m)
5543.2179298895535,7756.55810546875
5558.488502699167,7750.275390625
5573.75907550878,7743.857421875
5589.029648318393,7737.3037109375
5604.300221128006,7730.6142578125
5619.57079393762,7723.705078125
5634.841366747232,7716.10595703125
5650.111939556846,7708.1298828125
5665.382512366458,7699.927734375
5680.653085176072,7691.49951171875
5695.923657985685,7682.84521484375
5711.194230795298,7673.96484375
5726.464803604911,7661.677734375
5741.735376414525,7649.09765625
5757.005949224137,7636.04296875
5772.276522033751,7624.18310546875
5787.547094843363,7613.634765625
5802.8176676529765,7604.3974609375
5818.08824046259,7596.2646484375
5833.3588132722025,7588.96533203125
5848.629386081816,7582.52490234375
5863.8999588914285,7576.56689453125
5879.170531701042,7571.208984375
5894.441104510655,7566.529296875
5909.711677320268,7559.8271484375
5924.982250129881,7550.40380859375
5940.252822939495,7541.47802734375
5955.523395749107,7533.048828125
5970.793968558721,7522.1474609375
5986.064541368333,7510.75634765625
6001.335114177947,7499.01416015625
6016.60568698756,7484.2431640625
6031.876259797173,7471.00927734375
6047.146832606786,7459.31201171875
6062.4174054164,7449.15185546875
6077.687978226012,7439.017578125
6092.9585510356255,7428.97314453125
6108.229123845238,7415.46923828125
6123.4996966548515,7403.0048828125
6138.770269464465,7391.580078125
6154.0408422740775,7381.19482421875
6169.311415083691,7371.849609375
6184.581987893304,7362.74267578125
6199.852560702917,7346.3173828125
6215.12313351253,7328.64111328125
6230.393706322143,7311.73291015625
6245.664279131756,7295.59326171875
6260.93485194137,7280.22216796875
6276.205424750982,7265.619140625
6291.475997560596,7252.93603515625
6306.746570370209,7242.7197265625
6322.017143179822,7233.22705078125
6337.287715989435,7224.45751953125
6352.558288799048,7216.4111328125
6367.828861608661,7209.08837890625
6383.0994344182745,7200.62646484375
6398.370007227887,7189.04931640625
6413.6405800375005,7178.36376953125
6428.911152847113,7168.58203125
6444.1817256567265,7159.70458984375
6459.45229846634,7151.73095703125
6474.7228712759525,7144.29638671875
6489.993444085566,7134.908203125
6505.264016895179,7125.60400390625
6520.534589704792,7114.28857421875
6535.805162514405,7103.9228515625
6551.075735324018,7094.50634765625
6566.346308133631,7086.0390625
6581.616880943245,7077.24462890625
6596.887453752857,7068.61376953125
6612.158026562471,7060.21875
6627.428599372084,7050.44873046875
6642.699172181697,7041.31103515625
6657.96974499131,7032.806640625
6673.240317800923,7025.015625
6688.510890610536,7017.744140625
6703.7814634201495,7010.92431640625
6719.052036229762,7004.556640625
6734.3226090393755,6997.2685546875
6749.593181848989,6990.24951171875
6764.8637546586015,6980.74853515625
6780.134327468215,6967.9677734375
6795.404900277827,6955.23193359375
6810.675473087441,6942.541015625
6825.946045897054,6929.89599609375
6841.216618706667,6918.21142578125
6856.48719151628,6907.8720703125
6871.757764325893,6898.65087890625
6887.028337135506,6889.88232421875
6902.29890994512,6881.5654296875
6917.569482754732,6873.70068359375
6932.840055564346,6866.2880859375
6948.110628373959,6860.99267578125
6963.381201183572,6858.64306640625
6978.651773993185,6856.7451171875
6993.922346802798,6855.29931640625
7009.192919612411,6854.3056640625
7024.4634924220245,6853.76416015625
7039.734065231637,6853.67431640625
7055.0046380412505,6848.8525390625
7070.275210850864,6841.36328125
7085.545783660476,6834.77783203125
7100.81635647009,6829.0966796875
7116.086929279702,6824.3193359375
