Dystans (m),Wysokość (m)
166238.3946325643,643.1817626953125
166823.74109253814,640.6983032226562
167409.08755251195,639.7944946289062
167994.43401248578,638.4378662109375
168579.7804724596,636.7208251953125
169165.1269324334,635.6746826171875
169750.47339240724,635.9478149414062
170335.81985238104,634.8390502929688
170921.16631235485,633.942138671875
171506.5127723287,633.179443359375
172091.8592323025,632.4933471679688
172677.2056922763,630.2337036132812
173262.55215225014,628.643310546875
173847.89861222394,626.787109375
174433.24507219778,625.826171875
175018.5915321716,623.7305297851562
175603.9379921454,622.9885864257812
176189.28445211923,622.892822265625
176774.63091209304,623.382080078125
177359.97737206685,625.2094116210938
177945.32383204068,627.075927734375
178530.6702920145,629.7015991210938
179116.01675198833,630.68701171875
179701.36321196213,632.9461669921875
180286.70967193594,636.88720703125
180872.05613190978,637.7235107421875
181457.40259188358,639.8782348632812
182042.7490518574,642.145751953125
182628.09551183123,644.6578369140625
183213.44197180503,648.1450805664062
183798.78843177887,650.8118896484375
184384.13489175268,651.4668579101562
184969.48135172648,651.1778564453125
185554.82781170032,652.7616577148438
186140.17427167413,652.0401000976562
186725.52073164794,651.1934814453125
187310.86719162177,646.5499267578125
187896.21365159558,636.7854614257812
188481.5601115694,623.44677734375
189066.90657154322,611.5530395507812
189652.25303151703,606.9371337890625
190237.59949149087,607.6484375
190822.94595146467,602.9993896484375
191408.29241143848,602.367919921875
191993.63887141232,598.75341796875
192578.98533138612,596.5244750976562
193164.33179135993,594.9420166015625
193749.67825133377,592.0336303710938
194335.02471130757,588.5403442382812
194920.3711712814,589.9285888671875
195505.71763125522,584.4755859375
196091.06409122903,581.0718383789062
196676.41055120286,580.0098876953125
197261.75701117667,577.9136962890625
197847.10347115048,574.2604370117188
198432.4499311243,571.069091796875
199017.79639109812,569.4957885742188
199603.14285107196,568.4442749023438
200188.48931104576,566.5986328125
200773.83577101957,565.720458984375
201359.1822309934,564.4652709960938
201944.5286909672,561.6904907226562
202529.87515094102,557.8445434570312
203115.22161091486,556.6520385742188
203700.56807088866,554.868408203125
204285.9145308625,552.2286987304688
204871.2609908363,547.7315673828125
205456.60745081012,546.7205810546875
206041.95391078395,545.3321533203125
206627.30037075776,538.83935546875
207212.64683073157,536.4940795898438
207797.9932907054,532.6094360351562
208383.3397506792,531.2401123046875
208968.68621065302,526.8733520507812
209554.03267062685,522.145751953125
210139.37913060066,520.561279296875
210724.7255905745,517.1203002929688
211310.0720505483,514.33837890625
211895.4185105221,513.9334716796875
212480.76497049595,524.7887573242188
213066.11143046975,534.487548828125
213651.45789044356,540.7418212890625
214236.8043504174,532.3200073242188
214822.1508103912,520.3408813476562
215407.49727036504,508.1994323730469
215992.84373033885,500.7693176269531
216578.19019031266,500.2039184570312
217163.5366502865,513.0977172851562
217748.8831102603,534.9608764648438
218334.2295702341,550.186279296875
218919.57603020794,571.46337890625
219504.92249018175,590.0328979492188
220090.2689501556,608.5072631835938
220675.6154101294,624.7015380859375
221260.9618701032,642.9183349609375
221846.30833007704,655.0902099609375
222431.65479005084,663.2966918945312
223017.00125002465,668.0366821289062
223602.3477099985,659.4400634765625
224187.6941699723,654.0062255859375
224773.0406299461,646.1096801757812
225358.38708991994,641.3755493164062
225943.73354989375,643.2421875
226529.08000986758,651.2910766601562
227114.4264698414,657.91015625
227699.7729298152,671.5805053710938
228285.11938978903,696.3789672851562
228870.46584976284,725.8201904296875
229455.81230973665,755.9869384765625
230041.15876971048,786.2959594726562
230626.5052296843,817.8040771484375
231211.85168965813,852.087890625
231797.19814963193,885.8634033203125
232382.54460960574,926.4822998046875
232967.89106957958,968.0010986328125
233553.2375295534,1002.510498046875
234138.5839895272,964.37353515625
234723.93044950103,937.5872802734375
235309.27690947484,907.1266479492188
235894.62336944867,879.7097778320312
236479.96982942248,847.59521484375
237065.3162893963,820.852783203125
237650.66274937012,792.0570678710938
238236.00920934393,762.2782592773438
